Source,Target,Weight,Episode
Jose Miguel,Alonso,1,120
Gossip woman 1,Amparo,1,120
Gossip woman 2,Amparo,1,120
Benita,Valentina,1,120
Valentina,Alonso,2,120
Alonso,Jose Miguel,1,120
Rosendo,Crisanta,1,120
Filadelfo,Rosendo,1,120
Sra Isabel,Don Ernesto,1,120
Alonso,Jose Miguel,1,120
Padre (De las Penas),Sra Isabel,1,120
Sabino,Jose Miguel,1,140
Illuminada,Felipe,1,140
Witness 1,Cmd. Toledo,1,140
Gabirella,Felipe,1,140
Sra Isabel,Felipe,1,140
Illuminada,Jose Miguel,1,140
Oracio,Alonso,1,140
Amparo,Alonso,1,140
Sandy,Temo,1,140
Ivana,Gabirella,1,140
Sandy,Primo,1,140
Sra Isabel,Valentina,1,140
Illuminada,Sabino,1,140
Felipe,Padre (De las Penas),1,140
Ivana,Sra Isabel,1,140
Ivana,Valentina,1,140
Sra Isabel,Ivana,3,140
Jose Miguel,Ivana,1,140
Valentina,Jose Miguel,2,140
Don Ernesto,Jose Miguel,1,140
Jose Miguel,Leonor,1,140
Sandy,Alonso,1,140
Sandy,Oracio,1,140
Sra Isabel,Illuminada,1,140
Don Ernesto,Sra Isabel,1,140
Valentina,Sra Isabel,1,140
Illuminada,Sra Isabel,1,140
Jose Miguel,Sabino,1,140
Illuminada,Valentina,1,142
Leonor,Valentina,3,142
Leonor,Sra Isabel,1,142
Sra Isabel,Valentina,1,142
Sra Isabel,Don Ernesto,1,142
Sabino,Leonor,1,142
Gabirella,Sra Isabel,1,142
Valentina,Sra Isabel,1,142
Don Ernesto,Sra Isabel,1,142
Leonor,Jose Miguel,1,142
Jose Miguel,Valentina,2,142
Gossip woman 1,Gossip woman 2,1,142
Padre (De las Penas),Padre (Justino),1,142
Don Ernesto,Jose Miguel,1,142
Valentina,Jose Miguel,3,142
Rosendo,Jose Miguel,1,142
Alonso,Jose Miguel,1,142
Leonor,Valentina,1,142
Leonor,Sra Isabel,1,142
